model_name,exp_name,model_path,ablation_tags,module_groups,n_tags,status,error,precision,recall,map50,map50_95,tp,fp,fn,image_fp_rate
yolo_a7+b7+c7+d7,a7b7c7d7/datasetm6c/exp_2604050107,/home/ubuntu/hpproject/yolo/experiments/a7b7c7d7/datasetm6c/exp_2604050107/train/weights/best.pt,a7+b7+c7+d7,feature_extraction+feature_fusion+classification_calibration,4,missing_model,weights not found: /home/ubuntu/hpproject/yolo/experiments/a7b7c7d7/datasetm6c/exp_2604050107/train/weights/best.pt,,,,,,,,
yolo_a4+b7+d6,a4b7d6/datasetm6c/defect241__a4__b7__d6/exp_2603060619,/home/ubuntu/hpproject/yolo/experiments/a4b7d6/datasetm6c/defect241__a4__b7__d6/exp_2603060619/train/weights/best.pt,a4+b7+d6,feature_extraction+feature_fusion+classification_calibration,3,missing_model,weights not found: /home/ubuntu/hpproject/yolo/experiments/a4b7d6/datasetm6c/defect241__a4__b7__d6/exp_2603060619/train/weights/best.pt,,,,,,,,
yolo_a3+b3+d3,a3b3d3/datasetm6c/exp_2604050042,/home/ubuntu/hpproject/yolo/experiments/a3b3d3/datasetm6c/exp_2604050042/train/weights/best.pt,a3+b3+d3,feature_extraction+feature_fusion+classification_calibration,3,missing_model,weights not found: /home/ubuntu/hpproject/yolo/experiments/a3b3d3/datasetm6c/exp_2604050042/train/weights/best.pt,,,,,,,,
yolo_a3+c5,yolo11/defect241__a3__c5/exp_2603032345,/home/ubuntu/hpproject/yolo/experiments/yolo11/defect241__a3__c5/exp_2603032345/train/weights/best.pt,a3+c5,feature_extraction+classification_calibration,2,missing_model,weights not found: /home/ubuntu/hpproject/yolo/experiments/yolo11/defect241__a3__c5/exp_2603032345/train/weights/best.pt,,,,,,,,
