model_name,scale_bin,gt,tp,fn,recall
bsd,<16,3,0,3,0.0
bsd,16-32,40,15,25,0.375
bsd,32-64,106,48,58,0.4528301886792453
bsd,>=64,49,39,10,0.7959183673469388
baseline,<16,3,1,2,0.3333333333333333
baseline,16-32,40,9,31,0.225
baseline,32-64,106,45,61,0.42452830188679247
baseline,>=64,49,38,11,0.7755102040816326
our,<16,3,0,3,0.0
our,16-32,40,17,23,0.425
our,32-64,106,58,48,0.5471698113207547
our,>=64,49,41,8,0.8367346938775511
hmc,<16,3,0,3,0.0
hmc,16-32,40,8,32,0.2
hmc,32-64,106,48,58,0.4528301886792453
hmc,>=64,49,38,11,0.7755102040816326
al3,<16,3,0,3,0.0
al3,16-32,40,19,21,0.475
al3,32-64,106,56,50,0.5283018867924528
al3,>=64,49,39,10,0.7959183673469388
al2,<16,3,0,3,0.0
al2,16-32,40,11,29,0.275
al2,32-64,106,45,61,0.42452830188679247
al2,>=64,49,39,10,0.7959183673469388
al1,<16,3,1,2,0.3333333333333333
al1,16-32,40,16,24,0.4
al1,32-64,106,53,53,0.5
al1,>=64,49,35,14,0.7142857142857143
op1,<16,3,0,3,0.0
op1,16-32,40,14,26,0.35
op1,32-64,106,56,50,0.5283018867924528
op1,>=64,49,39,10,0.7959183673469388
op2,<16,3,0,3,0.0
op2,16-32,40,10,30,0.25
op2,32-64,106,46,60,0.4339622641509434
op2,>=64,49,42,7,0.8571428571428571
op3,<16,3,0,3,0.0
op3,16-32,40,19,21,0.475
op3,32-64,106,56,50,0.5283018867924528
op3,>=64,49,39,10,0.7959183673469388
