model_name,hit_img,miss_img,fp_img,tn_img,image_recall,image_fpr
bsd,82,10,9,30,0.8913043478260869,0.23076923076923078
baseline,77,15,4,35,0.8369565217391305,0.10256410256410256
our,88,4,2,37,0.9565217391304348,0.05128205128205128
hmc,75,17,2,37,0.8152173913043478,0.05128205128205128
al3,83,9,9,30,0.9021739130434783,0.23076923076923078
al2,77,15,5,34,0.8369565217391305,0.1282051282051282
al1,78,14,5,34,0.8478260869565217,0.1282051282051282
op1,85,7,6,33,0.9239130434782609,0.15384615384615385
op2,80,12,7,32,0.8695652173913043,0.1794871794871795
op3,83,9,9,30,0.9021739130434783,0.23076923076923078
