model_name,split_used,mAP50,mAP50_95,precision,recall,gt,pred,tp,fp,fn,precision_target_level,recall_target_level,fps
bsd,"val,test",0.40947785635766776,0.20151914774793347,0.4442904174901986,0.4190521628498728,198,174,102,72,96,0.5862068965517241,0.5151515151515151,252.9025665627785
baseline,"val,test",0.4645930575344746,0.24410238398861656,0.5493836028676837,0.38883587786259544,198,145,93,52,105,0.6413793103448275,0.4696969696969697,371.2427110868125
our,"val,test",0.45342907950088795,0.23062999287594577,0.48339644380837815,0.40871501272264626,198,159,116,43,82,0.7295597484276729,0.5858585858585859,180.90069727317024
hmc,"val,test",0.5037597749306081,0.2282642052728719,0.6073651539300394,0.39360687022900764,198,128,94,34,104,0.734375,0.47474747474747475,164.23325639031967
al3,"val,test",0.5272669014557726,0.2582976971745556,0.619575523136087,0.44910941475826976,198,164,114,50,84,0.6951219512195121,0.5757575757575758,182.37209959460907
al2,"val,test",0.48767882488381536,0.2342194786565099,0.5855637633228816,0.41436068702290074,198,139,95,44,103,0.6834532374100719,0.4797979797979798,176.47579763735868
al1,"val,test",0.47578026198121004,0.24187473713737073,0.5542022448156186,0.4339217557251908,198,157,105,52,93,0.6687898089171974,0.5303030303030303,144.04217065461137
op1,"val,test",0.4809688164455799,0.23289918022979264,0.5237740599870556,0.43924936386768454,198,175,109,66,89,0.6228571428571429,0.5505050505050505,296.5463486898205
op2,"val,test",0.4505954466470458,0.23914969425197427,0.555446101025904,0.388279262086514,198,166,98,68,100,0.5903614457831325,0.494949494949495,298.2090817112837
op3,"val,test",0.5272669014557726,0.2582976971745556,0.619575523136087,0.44910941475826976,198,164,114,50,84,0.6951219512195121,0.5757575757575758,181.16537953152562
